Sno,Name,Youtuber,Country,Subscribers,Category_2,Avg_views,Avg_likes,Avg_Comments,Category_3
178,Ninja,NinjasHyper,United States,23900000.0,Animation,251400.0,11300.0,613.0,Video games,
179,Diana and Roma HIN,Diana and Roma HIN,,23700000.0,,328000.0,1700.0,0.0,,
180,Chris Brown,ChrisBrownTV,United States,23700000.0,Music & Dance,9800000.0,361300.0,19300.0,,
181,Coldplay,ColdplayVEVO,United States,23600000.0,Music & Dance,329500.0,13700.0,600.0,,
182,Logan Paul,Logan Paul,United States,23600000.0,Video games,0.0,0.0,0.0,Humor,
183,TRANS7 OFFICIAL,TRANS7indonesia,Indonesia,23500000.0,Food & Drinks,6600.0,89.0,8.0,,
184,ABPLIVE,ABPLIVE,India,23500000.0,News & Politics,2500.0,28.0,3.0,,
185,Happy Lives,Happy Lives,,23500000.0,,30800.0,218.0,0.0,,
186,Shemaroo Movies,shemaroomovies,India,23400000.0,Movies,45000.0,474.0,12.0,,
187,Troom Troom,Troom Troom,Ukraine,23400000.0,Animation,367100.0,3500.0,128.0,Toys,
188,NickyJamTV,NickyJamTV,Colombia,23300000.0,Music & Dance,26800.0,2300.0,65.0,Movies,
189,Mister Max,Mister Max,Russia,23100000.0,DIY & Life Hacks,1800000.0,34800.0,1300.0,,
190,Enrique Iglesias,EnriqueIglesiasPlay,United States,23000000.0,Music & Dance,29000.0,2800.0,155.0,,
191,Sesame Street,SesameStreet,,23000000.0,,199300.0,517.0,0.0,,
192,Tina Pontes,mildicasdemulher,Brazil,23000000.0,,105300.0,4000.0,0.0,,
193,netd müzik,netdmuzikk,Turkey,22900000.0,Music & Dance,9300.0,244.0,50.0,,
194,Jelly,JellyYT,United States,22900000.0,Video games,224100.0,10300.0,531.0,,
195,Goldmines Bollywood,Goldmines Bollywood,India,22900000.0,,20200.0,117.0,7.0,,
196,Crazy XYZ,Crazy XYZ,India,22900000.0,,3700000.0,294100.0,10200.0,,
197,Anuel AA,Anuel AA,Colombia,22700000.0,Music & Dance,44400000.0,832600.0,58200.0,Animation,
198,DrossRotzank,DrossRotzank,Mexico,22700000.0,,2200000.0,150200.0,8400.0,,
199,The Lallantop,The Lallantop,India,22600000.0,News & Politics,36900.0,1000.0,107.0,,
200,Miss Katy,Miss Katy,Russia,22500000.0,Video games,1000000.0,15600.0,667.0,,
201,Frost Diamond,Frost Diamond,Indonesia,22500000.0,Music & Dance,488900.0,35100.0,1200.0,Video games,
202,HUM TV,HumNetwork,Pakistan,22500000.0,,1600.0,10.0,0.0,,
203,Like Nastya AE,Like Nastya AE,,22400000.0,,456200.0,3000.0,0.0,,
204,WB Kids,WB Kids,,22400000.0,Movies,92600.0,559.0,0.0,Animation,
205,The Chainsmokers,THECHAINSMOKERS,United States,22300000.0,Humor,34800.0,1700.0,47.0,,
206,Technical Guruji,Technical Guruji,India,22300000.0,,178400.0,10500.0,1200.0,,
207,GMM GRAMMY OFFICIAL,gmmgrammyofficial,Thailand,22300000.0,Music & Dance,3800.0,72.0,3.0,,
208,Venus Movies,VenusMovies,India,22200000.0,,143600.0,1200.0,29.0,,
209,Smile Family,Smile Family,,22100000.0,Movies,78400.0,719.0,0.0,Toys,
210,mmoshaya,mmoshaya,Saudi Arabia,22100000.0,,2000000.0,33100.0,2200.0,,
211,America's Got Talent,AmericasGotTalent,United States,21900000.0,Music & Dance,263300.0,4200.0,246.0,Movies,
212,White Hill Music,WHBBP,India,21900000.0,Music & Dance,22700.0,1700.0,54.0,,
213,Paulo Londra,Paulo Londra,Argentina,21900000.0,Music & Dance,12500000.0,682900.0,24700.0,,
214,Diana and Roma ARA,Diana and Roma ARA,,21900000.0,,1200000.0,8200.0,0.0,,
215,TED,TEDtalksDirector,United States,21900000.0,,47500.0,1300.0,162.0,,
216,Goldmines Movies,goldmineshindi,India,21700000.0,,9000.0,81.0,5.0,,
217,FaZe Rug,oRugrat,United States,21700000.0,Video games,4100000.0,106200.0,7300.0,Humor,
218,Peppa Pig Español Latino - Canal Oficial,PeppaLatinoAmericano,,21600000.0,Toys,624900.0,3200.0,0.0,,
219,Pen Movies,PenIndiaPvtLimited,India,21600000.0,Movies,56000.0,2500.0,79.0,Animation,
220,Enaldinho,TheEnaldinhO,Brazil,21600000.0,Movies,816100.0,43800.0,656.0,,
221,BabyBus - Canciones Infantiles & Cuentos,BabyBus - Canciones Infantiles & Cuentos,,21400000.0,Movies,478200.0,2300.0,0.0,Animation,
222,MrBeast en Español,MrBeast en Español,Mexico,21200000.0,,7100000.0,265600.0,10100.0,,
223,Like Nastya PRT,Like Nastya PRT,,21200000.0,,365600.0,2200.0,0.0,,
224,Juan De Dios Pantoja,Juan De Dios Pantoja,Mexico,21200000.0,Daily vlogs,4600000.0,237300.0,4400.0,,
225,SSundee,SSundee,United States,21100000.0,Video games,1700000.0,95100.0,3700.0,,
226,Brent Rivera,Brent Rivera,United States,21100000.0,Video games,5000000.0,201900.0,13100.0,Humor,
227,Tasty,Tasty,United States,21100000.0,Food & Drinks,112800.0,4300.0,64.0,,
228,FGTeeV,FGTeeV,United States,21100000.0,Animation,1300000.0,18500.0,2000.0,Video games,
229,Preston,PrestonPlayz,United States,21000000.0,Animation,1400000.0,53200.0,521.0,Video games,
